"Coche: TODOS Servicio/Turno 99999  Desde: 16-01-2018 00:00 Hasta: 16-01-2018 22:01 Coche: "
Seccion-Origen;Transaccion;"Tipo Transaccion";"Fecha y hora";Comprobante;Importe;Copia;Destino-Boleto;"Posicion GPS";"Estado GPS";Serie;Equipo;Coche;"Fecha y hora servicio";"Destino servicio";"Cod servicio";Ida/Vuelta;Chofer;Guarda;"Compr./Reporte tipo";"Resp. impresion"
"Cnia Caroya (14)";"Control de Paso";" CC21 ";"2018-01-16 22:01:52";;;0;"SIN DEF ";"-31 01,6758 -64 03,2383";A;2183;1900;5103;2018-01-16-21:40:00;"Cnia Caroya (14)";8196;I;35;;;
"Cnia Caroya (14)";"Control de Paso";" CC20 ";"2018-01-16 22:01:16";;;0;"SIN DEF ";"-31 01,5199 -64 03,4197";A;2183;1900;5103;2018-01-16-21:40:00;"Cnia Caroya (14)";8196;I;35;;;
"Cnia Caroya (14)";"Control de Paso";" CC19 ";"2018-01-16 22:00:42";;;0;"SIN DEF ";"-31 01,4294 -64 03,5233";A;2183;1900;5103;2018-01-16-21:40:00;"Cnia Caroya (14)";8196;I;35;;;
"Cnia Caroya (14)";"Control de Paso";" CC18 ";"2018-01-16 22:00:11";;;0;"SIN DEF ";"-31 01,3518 -64 03,6188";A;2183;1900;5103;2018-01-16-21:40:00;"Cnia Caroya (14)";8196;I;35;;;
"Cnia Caroya (14)";"Falta Papel o Apert.";"  ";"2018-01-16 21:59:09";;;0;"SIN DEF ";"-31 01,2413 -64 03,7445";A;2183;1900;5103;2018-01-16-21:40:00;"Cnia Caroya (14)";8196;I;35;;;
"Cnia Caroya (14)";"Control de Paso";" CC17 ";"2018-01-16 21:58:18";;;0;"SIN DEF ";"-31 01,2209 -64 03,7685";A;2183;1900;5103;2018-01-16-21:40:00;"Cnia Caroya (14)";8196;I;35;;;
"Cnia Caroya (14)";"Control de Paso";" CC16 ";"2018-01-16 21:57:18";;;0;"SIN DEF ";"-31 01,0630 -64 03,9563";A;2183;1900;5103;2018-01-16-21:40:00;"Cnia Caroya (14)";8196;I;35;;;
"Cnia Caroya (14)";"Control de Paso";" CC15 ";"2018-01-16 21:56:51";;;0;"SIN DEF ";"-31 00,9500 -64 04,0851";A;2183;1900;5103;2018-01-16-21:40:00;"Cnia Caroya (14)";8196;I;35;;;
"Cnia Caroya (14)";"Control de Paso";" CC14 ";"2018-01-16 21:55:32";;;0;"SIN DEF ";"-31 00,8009 -64 04,2582";A;2183;1900;5103;2018-01-16-21:40:00;"Cnia Caroya (14)";8196;I;35;;;
"Cnia Caroya (14)";"Control de Paso";" CC13 ";"2018-01-16 21:54:45";;;0;"SIN DEF ";"-31 00,6631 -64 04,4229";A;2183;1900;5103;2018-01-16-21:40:00;"Cnia Caroya (14)";8196;I;35;;;
